fill time utc;[CH4]
19.08.21 08:59;2013
19.08.21 09:18;2013
19.08.21 09:38;1999
19.08.21 10:16;1983
19.08.21 10:36;1958
19.08.21 10:55;1956
19.08.21 11:14;1955
19.08.21 11:53;1972
19.08.21 12:12;1965
19.08.21 12:32;1960
19.08.21 12:51;2007
19.08.21 13:30;2002
19.08.21 13:49;2008
19.08.21 14:09;2031
19.08.21 14:28;2020
19.08.21 15:07;2002
19.08.21 15:26;2026
19.08.21 15:45;2004
19.08.21 16:05;
19.08.21 16:43;1963
19.08.21 17:03;1969
19.08.21 17:22;1986
19.08.21 17:41;1958
19.08.21 18:20;1976
19.08.21 18:39;1982
19.08.21 18:59;1963
19.08.21 19:18;1985
19.08.21 19:57;1996
19.08.21 20:16;1984
19.08.21 20:36;1992
19.08.21 20:55;2002
19.08.21 21:34;2019
19.08.21 21:53;1996
19.08.21 22:12;2010
19.08.21 22:32;2018
19.08.21 23:30;2055
19.08.21 23:49;2058
20.08.21 00:28;2051
20.08.21 00:47;2119
20.08.21 01:07;2118
20.08.21 01:26;2141
20.08.21 02:05;2132
20.08.21 02:24;2119
20.08.21 02:43;2105
20.08.21 03:03;2110
20.08.21 03:41;2079
20.08.21 04:01;2052
20.08.21 04:20;2038
20.08.21 04:39;2095
20.08.21 05:18;2073
20.08.21 05:37;2068
20.08.21 05:57;2020
20.08.21 06:16;2007
20.08.21 06:55;2036
20.08.21 07:14;2086
20.08.21 07:34;2219
20.08.21 07:53;2319
20.08.21 08:32;2578
20.08.21 08:51;2588
20.08.21 09:10;2155
20.08.21 09:30;2137
20.08.21 10:08;2080
20.08.21 10:28;2068
20.08.21 10:47;2082
20.08.21 11:07;2076
20.08.21 11:45;2052
20.08.21 12:05;2060
20.08.21 12:24;2026
20.08.21 12:43;2024
20.08.21 13:22;2034
20.08.21 13:41;2009
20.08.21 14:01;2012
20.08.21 14:20;1998
20.08.21 14:59;1945
20.08.21 15:18;1988
20.08.21 15:37;1964
20.08.21 15:57;2015
20.08.21 16:35;1986
20.08.21 16:55;1975
